"","Apr","Aug","Feb","Jan","Jul","Jun","Mar","May","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,75.4,71.9,0.326470588235294
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,75.3,72.7,0.289705882352941
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,77,72,0.267647058823529
"227",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,74.6,64.8,0.366176470588235
"228",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,70.4,66.5,0.320588235294118
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,66.6,63.7,0.272058823529412
"230",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,66,61.1,0.285294117647059
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,68.3,62.8,0.320588235294118
"232",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,70.4,62.6,0.283823529411765
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,68.4,59.9,0.313235294117647
"234",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,69.1,63.5,0.375
"235",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,72.3,67.6,0.345588235294118
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,72.3,68.9,0.327941176470588
"237",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,71.7,70,0.332352941176471
"238",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,74.2,70.5,0.283823529411765
"239",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,70.3,52.8,0.319117647058824
"240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,66.9,53.6,0.364705882352941
"241",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,70.6,65.3,0.313235294117647
"242",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,70.8,68.6,0.291176470588235
"243",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,72,61.6,0.308823529411765
"244",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,67,52,0.294117647058824
